"","rules","support","confidence","lift","count"
"330","{other vegetables} => {whole milk}",0.0748347737671581,0.386757750919601,1.51363409482462,736
"331","{whole milk} => {other vegetables}",0.0748347737671581,0.292877039395145,1.51363409482462,736
"328","{rolls/buns} => {whole milk}",0.0566344687341129,0.307904919845218,1.20503178936638,557
"329","{whole milk} => {rolls/buns}",0.0566344687341129,0.221647433346598,1.20503178936638,557
"324","{yogurt} => {whole milk}",0.0560244026436197,0.401603498542274,1.57173514053453,551
"325","{whole milk} => {yogurt}",0.0560244026436197,0.219259848786311,1.57173514053453,551
"310","{root vegetables} => {whole milk}",0.0489069649211998,0.448694029850746,1.75603095247994,481
"311","{whole milk} => {root vegetables}",0.0489069649211998,0.191404695582969,1.75603095247994,481
"308","{root vegetables} => {other vegetables}",0.047381799694967,0.434701492537313,2.2466049285888,466
"309","{other vegetables} => {root vegetables}",0.047381799694967,0.244876510772465,2.2466049285888,466
"322","{yogurt} => {other vegetables}",0.0434163701067616,0.311224489795918,1.6084565723294,427
"323","{other vegetables} => {yogurt}",0.0434163701067616,0.224382553862323,1.6084565723294,427
"326","{rolls/buns} => {other vegetables}",0.0426029486527707,0.231619679380873,1.19704653006353,419
"327","{other vegetables} => {rolls/buns}",0.0426029486527707,0.22017866526537,1.19704653006353,419
"300","{tropical fruit} => {whole milk}",0.0422979156075241,0.403100775193798,1.57759495584202,416
"301","{whole milk} => {tropical fruit}",0.0422979156075241,0.165539196179865,1.57759495584202,416
"318","{soda} => {whole milk}",0.0400610066090493,0.229737609329446,0.899112370774016,394
"319","{whole milk} => {soda}",0.0400610066090493,0.156784719458814,0.899112370774016,394
"314","{soda} => {rolls/buns}",0.0383324860193188,0.219825072886297,1.19512415248023,377
"315","{rolls/buns} => {soda}",0.0383324860193188,0.208402432283029,1.19512415248023,377
"298","{tropical fruit} => {other vegetables}",0.0358922216573462,0.342054263565891,1.7677896385552,353
"299","{other vegetables} => {tropical fruit}",0.0358922216573462,0.185496584340515,1.7677896385552,353
"288","{bottled water} => {whole milk}",0.0343670564311134,0.310947562097516,1.21693962325072,338
"289","{whole milk} => {bottled water}",0.0343670564311134,0.13450059689614,1.21693962325072,338
"320","{yogurt} => {rolls/buns}",0.0343670564311134,0.246355685131195,1.33936327433129,338
"321","{rolls/buns} => {yogurt}",0.0343670564311134,0.186843559977888,1.33936327433129,338
"226","{pastry} => {whole milk}",0.033248601931876,0.373714285714286,1.46258654994031,327
"227","{whole milk} => {pastry}",0.033248601931876,0.130123358535615,1.46258654994031,327
"316","{soda} => {other vegetables}",0.0327402135231317,0.187755102040816,0.970347571503641,322
"317","{other vegetables} => {soda}",0.0327402135231317,0.169206516027325,0.970347571503641,322
"189","{whipped/sour cream} => {whole milk}",0.0322318251143874,0.449645390070922,1.75975424247812,317
"190","{whole milk} => {whipped/sour cream}",0.0322318251143874,0.126144050935137,1.75975424247812,317
"270","{sausage} => {rolls/buns}",0.0306049822064057,0.325757575757576,1.7710479588589,301
"271","{rolls/buns} => {sausage}",0.0306049822064057,0.166390270867883,1.7710479588589,301
"242","{citrus fruit} => {whole milk}",0.0305033045246568,0.368550368550369,1.44237679056621,300
"243","{whole milk} => {citrus fruit}",0.0305033045246568,0.119379228014326,1.44237679056621,300
"208","{pip fruit} => {whole milk}",0.0300965937976614,0.397849462365591,1.55704316051158,296
"209","{whole milk} => {pip fruit}",0.0300965937976614,0.117787504974134,1.55704316051158,296
"154","{domestic eggs} => {whole milk}",0.0299949161159126,0.47275641025641,1.85020266409542,295
"155","{whole milk} => {domestic eggs}",0.0299949161159126,0.117389574214087,1.85020266409542,295
"274","{sausage} => {whole milk}",0.0298932384341637,0.318181818181818,1.24525196252216,294
"275","{whole milk} => {sausage}",0.0298932384341637,0.116991643454039,1.24525196252216,294
"294","{tropical fruit} => {yogurt}",0.0292831723436706,0.27906976744186,2.00047460844803,288
"295","{yogurt} => {tropical fruit}",0.0292831723436706,0.209912536443149,2.00047460844803,288
"280","{bottled water} => {soda}",0.028978139298424,0.262189512419503,1.50357659163021,285
"281","{soda} => {bottled water}",0.028978139298424,0.166180758017493,1.50357659163021,285
"187","{whipped/sour cream} => {other vegetables}",0.0288764616166751,0.402836879432624,2.08192365171827,284
"188","{other vegetables} => {whipped/sour cream}",0.0288764616166751,0.149238045191802,2.08192365171826,284
"240","{citrus fruit} => {other vegetables}",0.0288764616166751,0.348894348894349,1.80314026346606,284
"241","{other vegetables} => {citrus fruit}",0.0288764616166751,0.149238045191802,1.80314026346606,284
"126","{butter} => {whole milk}",0.02755465175394,0.497247706422018,1.94605300145665,271
"127","{whole milk} => {butter}",0.02755465175394,0.107839235972941,1.94605300145665,271
"140","{newspapers} => {whole milk}",0.0273512963904423,0.342675159235669,1.34111030285826,269
